year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1996, 해태, 20, 17, 24, 18, 6, 3, 1, 0, 1, 7, 3, 0, 0, 1, 0, 8, 0, 0, 0, 0.167, 0.375, 0.389, 0.764, 0.362, 131.3
1997, 해태, 21, 54, 140, 126, 26, 35, 9, 1, 8, 70, 20, 0, 0, 1, 0, 27, 1, 4, 2, 0.278, 0.316, 0.556, 0.872, 0.368, 130.2
1998, 해태, 22, 121, 465, 422, 64, 128, 27, 1, 19, 214, 77, 5, 2, 6, 1, 71, 13, 2, 8, 0.303, 0.348, 0.507, 0.855, 0.372, 134.7
1999, 해태, 23, 107, 342, 312, 48, 86, 16, 1, 16, 152, 55, 5, 2, 3, 1, 46, 13, 3, 0, 0.276, 0.333, 0.487, 0.821, 0.351, 104.2
2000, 해태,SK, 24, 61, 209, 190, 23, 44, 9, 0, 10, 83, 25, 1, 0, 4, 0, 45, 9, 3, 0, 0.232, 0.291, 0.437, 0.728, 0.316, 83.1
, 해태, 24, 18, 40, 35, 2, 4, 1, 0, 0, 5, 0, 0, 0, 0, 0, 10, 3, 0, 0, 0.114, 0.225, 0.143, 0.368, 0.192, 1.0
, SK, 24, 43, 169, 155, 21, 40, 8, 0, 10, 78, 25, 1, 0, 4, 0, 35, 6, 3, 0, 0.258, 0.307, 0.503, 0.811, 0.345, 102.7
2001, SK, 25, 80, 308, 286, 44, 67, 17, 5, 8, 118, 30, 4, 3, 3, 0, 44, 7, 1, 0, 0.234, 0.287, 0.413, 0.699, 0.312, 75.1
2002, SK, 26, 129, 499, 444, 76, 128, 24, 2, 23, 225, 64, 5, 3, 4, 3, 75, 12, 4, 2, 0.288, 0.358, 0.507, 0.864, 0.373, 131.1
2003, SK, 27, 133, 554, 473, 86, 137, 20, 1, 36, 267, 102, 9, 7, 9, 4, 80, 6, 2, 1, 0.290, 0.390, 0.564, 0.954, 0.414, 154.8
2004, SK, 28, 133, 578, 497, 87, 139, 22, 2, 30, 255, 112, 7, 7, 4, 5, 75, 12, 2, 6, 0.280, 0.368, 0.513, 0.881, 0.390, 134.9
2005, SK, 29, 105, 411, 354, 59, 96, 16, 1, 21, 177, 65, 5, 5, 10, 2, 68, 10, 0, 2, 0.271, 0.367, 0.500, 0.867, 0.389, 139.0
2007, SK, 31, 101, 391, 351, 56, 110, 22, 1, 14, 176, 71, 3, 6, 3, 0, 59, 13, 0, 6, 0.313, 0.368, 0.501, 0.870, 0.396, 147.7
2008, SK, 32, 8, 26, 25, 1, 5, 2, 0, 0, 7, 2, 0, 0, 0, 0, 8, 1, 0, 0, 0.200, 0.231, 0.280, 0.511, 0.241, 34.7
2009, SK, 33, 103, 340, 299, 40, 89, 14, 1, 16, 153, 55, 0, 0, 1, 1, 60, 9, 1, 4, 0.298, 0.369, 0.512, 0.880, 0.384, 123.5
2010, SK, 34, 85, 219, 194, 19, 54, 9, 0, 8, 87, 46, 1, 0, 1, 3, 39, 6, 0, 4, 0.278, 0.343, 0.448, 0.791, 0.351, 106.0
2011, SK, 35, 114, 417, 368, 41, 93, 12, 0, 14, 147, 62, 2, 2, 1, 2, 78, 10, 3, 1, 0.253, 0.333, 0.399, 0.733, 0.339, 102.4
2012, SK, 36, 127, 504, 426, 55, 128, 26, 0, 18, 208, 78, 3, 3, 5, 5, 90, 10, 0, 1, 0.300, 0.407, 0.488, 0.895, 0.414, 163.1
2013, NC, 37, 126, 508, 442, 46, 123, 25, 1, 20, 210, 87, 2, 3, 1, 3, 109, 8, 0, 5, 0.278, 0.362, 0.475, 0.837, 0.381, 126.9
2014, NC, 38, 122, 500, 424, 59, 115, 20, 0, 23, 204, 78, 3, 5, 3, 0, 104, 15, 1, 5, 0.271, 0.371, 0.481, 0.852, 0.377, 111.6
2015, NC, 39, 131, 518, 449, 48, 132, 25, 0, 24, 229, 110, 0, 2, 3, 7, 102, 16, 3, 2, 0.294, 0.381, 0.510, 0.891, 0.386, 125.7
2016, NC, 40, 119, 472, 399, 46, 119, 20, 0, 21, 202, 87, 3, 2, 2, 6, 78, 11, 2, 4, 0.298, 0.396, 0.506, 0.902, 0.396, 125.7
2017, NC, 41, 77, 187, 164, 13, 49, 10, 0, 7, 80, 36, 1, 0, 1, 2, 41, 2, 1, 3, 0.299, 0.366, 0.488, 0.853, 0.367, 113.3
