year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1990, 해태, 23, 99, 372, 313, 57, 95, 16, 6, 7, 144, 48, 16, 10, 8, 1, 49, 4, 7, 3, 0.304, 0.395, 0.460, 0.855, 0.392, 141.8
1991, 해태, 24, 121, 520, 434, 98, 125, 12, 7, 21, 214, 84, 25, 7, 12, 1, 65, 6, 2, 5, 0.288, 0.394, 0.493, 0.887, 0.404, 150.7
1992, 해태, 25, 110, 451, 374, 78, 104, 16, 3, 14, 168, 52, 25, 1, 3, 1, 75, 13, 0, 4, 0.278, 0.393, 0.449, 0.842, 0.386, 132.7
1993, 해태, 26, 75, 256, 210, 35, 65, 14, 1, 3, 90, 22, 10, 10, 2, 1, 27, 8, 1, 1, 0.310, 0.428, 0.429, 0.856, 0.403, 165.7
1994, 해태, 27, 105, 440, 374, 63, 99, 10, 2, 9, 140, 49, 21, 7, 5, 1, 63, 6, 4, 5, 0.265, 0.358, 0.374, 0.732, 0.341, 115.0
1995, 해태, 28, 55, 205, 185, 24, 46, 9, 2, 5, 74, 22, 6, 3, 4, 2, 28, 6, 3, 1, 0.249, 0.307, 0.400, 0.707, 0.315, 101.4
1996, 해태, 29, 105, 399, 357, 38, 92, 9, 0, 9, 128, 63, 16, 5, 1, 1, 66, 11, 9, 4, 0.258, 0.310, 0.359, 0.669, 0.304, 90.7
1997, 해태, 30, 110, 443, 380, 51, 105, 13, 0, 15, 163, 63, 20, 5, 4, 1, 74, 10, 2, 3, 0.276, 0.370, 0.429, 0.799, 0.363, 126.8
1998, 해태, 31, 83, 286, 250, 28, 69, 16, 1, 4, 99, 30, 5, 3, 1, 0, 45, 10, 7, 1, 0.276, 0.348, 0.396, 0.744, 0.330, 105.7
1999, 해태, 32, 101, 316, 273, 43, 68, 17, 0, 6, 103, 35, 10, 3, 0, 0, 62, 6, 3, 1, 0.249, 0.342, 0.377, 0.719, 0.324, 86.8
2000, 해태, 33, 117, 468, 397, 52, 96, 25, 0, 8, 145, 57, 13, 1, 4, 1, 102, 8, 0, 2, 0.242, 0.353, 0.365, 0.718, 0.333, 94.6
2001, 해태/KIA, 34, 9, 17, 16, 2, 4, 2, 0, 1, 9, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0.250, 0.294, 0.563, 0.857, 0.366, 110.8
