year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2007, 두산, 22, 49, 64, 58, 10, 15, 4, 0, 0, 19, 5, 3, 2, 1, 0, 17, 1, 0, 1, 0.259, 0.313, 0.328, 0.640, 0.304, 81.0
2008, 두산, 23, 117, 311, 282, 45, 70, 10, 3, 0, 86, 28, 28, 7, 7, 0, 62, 3, 3, 2, 0.248, 0.305, 0.305, 0.610, 0.291, 69.7
2009, 두산, 24, 106, 239, 209, 36, 48, 3, 0, 0, 51, 12, 12, 3, 6, 1, 44, 5, 2, 2, 0.230, 0.312, 0.244, 0.556, 0.271, 45.7
2010, 두산, 25, 123, 421, 384, 59, 106, 17, 3, 0, 129, 37, 35, 10, 4, 1, 76, 5, 2, 2, 0.276, 0.332, 0.336, 0.668, 0.313, 80.8
2011, 두산, 26, 129, 529, 466, 73, 129, 18, 4, 6, 173, 46, 46, 7, 9, 0, 62, 6, 12, 3, 0.277, 0.342, 0.371, 0.714, 0.331, 96.7
2012, 두산, 27, 77, 213, 188, 29, 53, 7, 3, 0, 66, 17, 14, 2, 0, 1, 43, 4, 6, 2, 0.282, 0.338, 0.351, 0.689, 0.317, 94.8
2013, 두산, 28, 113, 375, 308, 54, 80, 14, 7, 7, 129, 44, 33, 11, 6, 2, 62, 6, 7, 5, 0.260, 0.367, 0.419, 0.786, 0.358, 111.1
2014, 두산, 29, 110, 420, 359, 60, 114, 21, 6, 5, 162, 40, 33, 7, 2, 2, 61, 7, 9, 0, 0.318, 0.404, 0.451, 0.855, 0.382, 119.6
2015, 두산, 30, 120, 474, 411, 60, 115, 20, 2, 11, 172, 59, 31, 8, 4, 1, 94, 9, 7, 4, 0.280, 0.356, 0.418, 0.775, 0.345, 102.6
2016, 두산, 31, 122, 484, 416, 68, 113, 18, 1, 5, 148, 58, 13, 10, 5, 1, 82, 10, 3, 6, 0.272, 0.358, 0.356, 0.713, 0.334, 84.5
2017, 두산, 32, 127, 390, 334, 43, 79, 16, 1, 7, 118, 40, 7, 7, 2, 1, 85, 5, 4, 3, 0.237, 0.332, 0.353, 0.685, 0.311, 79.1
2018, 두산, 33, 132, 521, 473, 78, 148, 24, 1, 15, 219, 81, 15, 6, 2, 0, 119, 13, 3, 2, 0.313, 0.369, 0.463, 0.832, 0.364, 114.0
2019, 두산, 34, 98, 204, 177, 30, 29, 8, 1, 3, 48, 18, 6, 2, 0, 0, 50, 3, 2, 0, 0.164, 0.267, 0.271, 0.539, 0.257, 51.6
2020, 두산, 35, 85, 174, 155, 25, 36, 7, 1, 5, 60, 27, 10, 5, 0, 0, 49, 3, 1, 2, 0.232, 0.301, 0.387, 0.688, 0.310, 82.4
2021, 두산, 36, 45, 79, 72, 6, 12, 3, 0, 0, 15, 5, 2, 0, 0, 0, 18, 3, 0, 1, 0.167, 0.228, 0.208, 0.436, 0.216, 17.9
2022, 두산, 37, 17, 30, 28, 2, 5, 2, 0, 0, 7, 4, 1, 2, 0, 0, 9, 1, 0, 1, 0.179, 0.200, 0.250, 0.450, 0.207, 25.0
