year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2008, KIA, 19, 112, 322, 278, 39, 71, 2, 2, 0, 77, 24, 5, 9, 2, 0, 40, 8, 10, 2, 0.255, 0.330, 0.277, 0.607, 0.290, 69.1
2009, KIA, 20, 72, 129, 116, 29, 34, 9, 1, 0, 45, 6, 8, 2, 1, 0, 13, 2, 2, 0, 0.293, 0.354, 0.388, 0.742, 0.338, 91.6
2010, KIA, 21, 115, 406, 348, 40, 102, 14, 2, 1, 123, 28, 23, 7, 6, 0, 44, 5, 14, 4, 0.293, 0.362, 0.353, 0.716, 0.328, 90.5
2011, KIA, 22, 98, 412, 335, 58, 97, 12, 2, 4, 125, 47, 22, 9, 2, 0, 42, 8, 20, 5, 0.290, 0.380, 0.373, 0.753, 0.342, 104.8
2012, KIA, 23, 126, 532, 441, 63, 124, 19, 2, 5, 162, 55, 30, 12, 2, 0, 48, 9, 25, 6, 0.281, 0.363, 0.367, 0.730, 0.332, 105.8
2013, KIA, 24, 88, 363, 310, 51, 93, 12, 0, 1, 108, 29, 28, 14, 2, 0, 26, 10, 8, 4, 0.300, 0.378, 0.348, 0.726, 0.344, 101.1
2014, KIA, 25, 33, 98, 93, 7, 27, 4, 0, 0, 31, 9, 2, 0, 0, 0, 10, 3, 2, 0, 0.290, 0.313, 0.333, 0.646, 0.295, 59.1
2016, KIA, 27, 6, 27, 25, 3, 9, 2, 1, 0, 13, 0, 1, 1, 0, 0, 3, 1, 1, 0, 0.360, 0.385, 0.520, 0.905, 0.390, 119.9
2017, KIA, 28, 137, 529, 476, 84, 176, 34, 1, 5, 227, 64, 4, 4, 5, 4, 40, 10, 5, 4, 0.370, 0.420, 0.477, 0.897, 0.399, 134.0
2018, KIA, 29, 127, 492, 424, 73, 125, 17, 2, 4, 158, 49, 4, 1, 9, 1, 42, 10, 6, 5, 0.295, 0.375, 0.373, 0.747, 0.339, 94.5
2019, KIA, 30, 121, 447, 394, 55, 115, 22, 0, 3, 146, 40, 5, 4, 1, 0, 26, 7, 5, 4, 0.292, 0.360, 0.371, 0.730, 0.340, 103.9
2020, KIA, 31, 85, 351, 303, 42, 100, 19, 0, 1, 122, 37, 1, 1, 2, 0, 43, 12, 1, 5, 0.330, 0.406, 0.403, 0.808, 0.378, 121.1
2021, KIA, 32, 130, 564, 501, 55, 154, 32, 0, 5, 201, 67, 0, 0, 1, 2, 39, 19, 1, 5, 0.307, 0.375, 0.401, 0.776, 0.366, 116.0
2022, KIA, 33, 35, 152, 133, 17, 44, 10, 0, 1, 57, 15, 3, 1, 1, 0, 17, 4, 1, 0, 0.331, 0.411, 0.429, 0.839, 0.392, 154.0
