year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1995, 삼성, 19, 121, 411, 365, 55, 104, 29, 1, 13, 174, 73, 0, 3, 4, 1, 54, 4, 2, 7, 0.285, 0.345, 0.477, 0.822, 0.366, 136.6, 2.77
1996, 삼성, 20, 122, 504, 459, 57, 139, 32, 6, 9, 210, 76, 4, 1, 5, 4, 42, 10, 1, 5, 0.303, 0.354, 0.458, 0.811, 0.367, 134.3, 3.65
1997, 삼성, 21, 126, 577, 517, 96, 170, 37, 3, 32, 309, 114, 5, 2, 6, 4, 79, 10, 1, 4, 0.329, 0.391, 0.598, 0.988, 0.432, 172.3, 6.78
1998, 삼성, 22, 126, 568, 477, 100, 146, 32, 2, 38, 296, 102, 0, 2, 5, 10, 97, 4, 1, 7, 0.306, 0.404, 0.621, 1.024, 0.434, 175.9, 6.73
1999, 삼성, 23, 132, 614, 486, 128, 157, 33, 2, 54, 356, 123, 10, 2, 12, 6, 114, 7, 0, 4, 0.323, 0.458, 0.733, 1.190, 0.486, 191.8, 8.91
2000, 삼성, 24, 125, 544, 454, 108, 133, 33, 0, 36, 274, 95, 4, 5, 7, 7, 113, 5, 0, 3, 0.293, 0.404, 0.604, 1.008, 0.428, 157.3, 5.18
2001, 삼성, 25, 127, 574, 463, 101, 128, 31, 2, 39, 280, 95, 4, 2, 12, 11, 130, 6, 1, 2, 0.276, 0.412, 0.605, 1.017, 0.434, 155.1, 5.52
2002, 삼성, 26, 133, 617, 511, 123, 165, 42, 2, 47, 352, 126, 1, 2, 15, 5, 109, 11, 0, 2, 0.323, 0.436, 0.689, 1.125, 0.472, 198.5, 8.96
2003, 삼성, 27, 131, 596, 479, 115, 144, 23, 0, 56, 335, 144, 7, 0, 10, 9, 89, 11, 0, 6, 0.301, 0.428, 0.699, 1.127, 0.471, 191.2, 8.39
2012, 삼성, 36, 126, 556, 488, 84, 150, 28, 2, 21, 245, 85, 6, 0, 4, 4, 101, 10, 1, 4, 0.307, 0.384, 0.502, 0.886, 0.406, 157.5, 5.47
2013, 삼성, 37, 111, 483, 443, 62, 112, 24, 0, 13, 175, 69, 3, 1, 2, 2, 94, 8, 0, 8, 0.253, 0.298, 0.395, 0.693, 0.317, 83.1, 0.37
2014, 삼성, 38, 127, 548, 506, 83, 156, 30, 0, 32, 282, 101, 5, 1, 0, 3, 77, 10, 0, 2, 0.308, 0.358, 0.557, 0.915, 0.393, 118.3, 2.42
2015, 삼성, 39, 122, 522, 470, 87, 156, 28, 1, 26, 264, 90, 2, 1, 6, 2, 71, 10, 0, 6, 0.332, 0.387, 0.562, 0.949, 0.412, 140.4, 3.14
2016, 삼성, 40, 142, 623, 542, 91, 164, 32, 2, 27, 281, 118, 5, 2, 8, 1, 89, 7, 0, 8, 0.303, 0.380, 0.518, 0.899, 0.396, 123.1, 2.62
2017, 삼성, 41, 135, 533, 472, 65, 132, 30, 5, 24, 244, 87, 1, 1, 6, 6, 85, 7, 0, 8, 0.280, 0.347, 0.517, 0.864, 0.367, 111.1, 1.16
