year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
1982, MBC, 28, 3, 13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -113.0, -0.26
1983, MBC, 29, 97, 433, 373, 53, 108, 22, 2, 5, 149, 46, 34, 12, 10, 2, 23, 7, 4, 4, 0.290, 0.373, 0.399, 0.772, 0.357, 130.3, 4.69
1984, MBC, 30, 91, 392, 343, 53, 103, 11, 5, 7, 145, 37, 26, 11, 5, 1, 33, 6, 3, 5, 0.300, 0.370, 0.423, 0.793, 0.366, 135.3, 4.44
1985, MBC, 31, 100, 431, 377, 54, 118, 15, 3, 3, 148, 36, 50, 17, 5, 1, 29, 3, 6, 3, 0.313, 0.382, 0.393, 0.775, 0.360, 125.7, 4.67
1986, MBC, 32, 102, 447, 386, 67, 102, 18, 4, 4, 140, 43, 38, 14, 7, 3, 36, 6, 16, 2, 0.264, 0.336, 0.363, 0.699, 0.320, 104.6, 3.65
1987, MBC, 33, 100, 448, 399, 53, 113, 23, 5, 1, 149, 24, 33, 18, 5, 2, 26, 7, 4, 1, 0.283, 0.354, 0.373, 0.727, 0.344, 111.5, 3.62
1988, MBC, 34, 99, 447, 409, 49, 109, 18, 1, 2, 135, 26, 25, 12, 1, 2, 23, 3, 6, 3, 0.267, 0.313, 0.330, 0.643, 0.298, 79.9, 1.83
1989, MBC, 35, 101, 425, 357, 64, 102, 8, 2, 3, 123, 27, 39, 14, 4, 0, 33, 6, 7, 4, 0.286, 0.380, 0.345, 0.725, 0.349, 115.0, 3.85
1990, LG, 36, 109, 431, 381, 49, 91, 9, 2, 2, 110, 45, 14, 9, 2, 2, 24, 5, 10, 2, 0.239, 0.306, 0.289, 0.595, 0.283, 66.1, 0.96
1991, LG, 37, 82, 292, 247, 34, 65, 13, 2, 0, 82, 18, 15, 7, 2, 1, 23, 7, 15, 0, 0.263, 0.343, 0.332, 0.675, 0.306, 84.1, 1.37
1992, 태평양, 38, 82, 311, 276, 36, 61, 11, 0, 1, 75, 19, 10, 5, 4, 0, 26, 3, 3, 1, 0.221, 0.299, 0.272, 0.570, 0.274, 57.9, 0.36
