year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2002, 삼성, 19, 4, 6, 5, 0, 2, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.400, 0.400, 0.800, 1.200, 0.425, 166.3, 0.09
2004, 삼성, 21, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.000, 0.000, 0.000, 0.000, 0.000, -129.6, -0.04
2008, 삼성, 25, 126, 440, 384, 68, 106, 24, 0, 19, 187, 71, 3, 0, 6, 2, 76, 9, 0, 2, 0.276, 0.364, 0.487, 0.851, 0.389, 136.4, 3.52
2009, 삼성, 26, 113, 481, 415, 70, 118, 24, 0, 23, 211, 83, 1, 2, 9, 4, 60, 12, 1, 3, 0.284, 0.375, 0.508, 0.883, 0.386, 124.0, 2.97
2010, 삼성, 27, 121, 506, 420, 71, 117, 29, 1, 24, 220, 97, 4, 0, 8, 5, 91, 13, 2, 5, 0.279, 0.389, 0.524, 0.913, 0.401, 139.3, 4.27
2011, 삼성, 28, 133, 571, 480, 80, 163, 37, 3, 30, 296, 118, 4, 3, 5, 15, 88, 8, 0, 10, 0.340, 0.427, 0.617, 1.044, 0.457, 182.2, 7.64
2012, 삼성, 29, 125, 531, 461, 51, 125, 27, 1, 14, 196, 77, 2, 1, 5, 3, 76, 20, 0, 10, 0.271, 0.348, 0.425, 0.774, 0.358, 123.8, 3.21
2013, 삼성, 30, 128, 573, 511, 80, 156, 28, 0, 29, 271, 98, 2, 1, 7, 1, 91, 5, 0, 8, 0.305, 0.367, 0.530, 0.897, 0.404, 142.6, 4.91
2014, 삼성, 31, 113, 493, 430, 92, 153, 33, 0, 31, 279, 100, 4, 2, 7, 1, 62, 11, 0, 6, 0.356, 0.426, 0.649, 1.075, 0.458, 160.6, 5.55
2015, 삼성, 32, 144, 637, 547, 94, 174, 33, 1, 33, 308, 123, 2, 5, 9, 7, 101, 13, 0, 8, 0.318, 0.402, 0.563, 0.965, 0.416, 143.3, 4.13
2016, 삼성, 33, 138, 618, 519, 99, 195, 46, 2, 31, 338, 144, 2, 2, 9, 8, 83, 12, 0, 7, 0.376, 0.464, 0.651, 1.116, 0.480, 177.8, 7.75
2017, KIA, 34, 142, 629, 514, 98, 176, 36, 3, 26, 296, 120, 0, 1, 11, 8, 82, 15, 0, 8, 0.342, 0.450, 0.576, 1.026, 0.442, 163.5, 6.65
2018, KIA, 35, 143, 609, 528, 92, 179, 34, 1, 25, 290, 103, 3, 0, 7, 7, 87, 17, 0, 8, 0.339, 0.414, 0.549, 0.963, 0.411, 143.4, 4.94
2019, KIA, 36, 136, 555, 456, 65, 137, 31, 1, 17, 221, 86, 0, 1, 7, 6, 77, 13, 0, 7, 0.300, 0.413, 0.485, 0.897, 0.406, 149.4, 4.10
2020, KIA, 37, 140, 600, 522, 93, 185, 37, 1, 28, 308, 115, 0, 0, 5, 5, 101, 9, 0, 3, 0.354, 0.433, 0.590, 1.023, 0.450, 169.3, 
2021, KIA, 38, 104, 446, 373, 52, 87, 15, 1, 12, 140, 55, 0, 0, 4, 10, 67, 9, 0, 2, 0.233, 0.354, 0.375, 0.730, 0.339, 99.8, 0.20
2022, KIA, 39, 35, 148, 117, 9, 27, 7, 0, 0, 34, 15, 0, 0, 1, 4, 21, 3, 0, 1, 0.231, 0.385, 0.291, 0.676, 0.324, 107.0, 0.31
