year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2000, 해태, 23, 88, 199, 184, 18, 43, 8, 0, 3, 60, 23, 0, 0, 1, 0, 52, 3, 4, 2, 0.234, 0.267, 0.326, 0.593, 0.263, 48.3, 0.11
2001, 해태/KIA, 24, 127, 437, 396, 45, 103, 10, 1, 6, 133, 41, 0, 4, 3, 0, 73, 12, 8, 3, 0.260, 0.310, 0.336, 0.646, 0.297, 65.3, 0.99
2002, KIA, 25, 113, 391, 357, 36, 79, 12, 0, 7, 112, 41, 3, 1, 5, 0, 67, 11, 8, 3, 0.221, 0.266, 0.314, 0.580, 0.258, 50.7, 0.39
2003, KIA, 26, 125, 467, 423, 43, 118, 23, 1, 7, 164, 46, 3, 2, 3, 2, 69, 9, 10, 1, 0.279, 0.330, 0.388, 0.718, 0.320, 87.7, 2.53
2004, KIA, 27, 128, 439, 389, 39, 102, 21, 0, 8, 147, 45, 2, 1, 1, 0, 66, 11, 13, 3, 0.262, 0.319, 0.378, 0.697, 0.313, 82.4, 2.07
2005, KIA, 28, 105, 338, 298, 29, 70, 8, 0, 8, 102, 40, 0, 2, 4, 1, 50, 5, 8, 4, 0.235, 0.297, 0.342, 0.639, 0.289, 70.0, 0.98
2006, KIA, 29, 122, 417, 367, 33, 86, 15, 1, 2, 109, 35, 1, 2, 2, 0, 54, 9, 18, 0, 0.234, 0.296, 0.297, 0.593, 0.272, 66.2, 1.10
2007, KIA, 30, 109, 362, 320, 28, 84, 17, 0, 3, 110, 31, 3, 0, 7, 0, 40, 6, 13, 2, 0.263, 0.318, 0.344, 0.662, 0.303, 80.7, 1.72
2008, KIA, 31, 35, 94, 86, 8, 23, 3, 0, 2, 32, 9, 1, 1, 1, 0, 13, 1, 1, 1, 0.267, 0.312, 0.372, 0.684, 0.317, 87.7, 0.48
2009, KIA, 32, 124, 441, 379, 35, 87, 14, 0, 12, 137, 65, 2, 1, 4, 2, 72, 10, 8, 4, 0.230, 0.316, 0.361, 0.678, 0.304, 68.2, 1.24
2010, KIA, 33, 107, 354, 300, 25, 73, 11, 0, 4, 96, 39, 1, 2, 4, 0, 43, 11, 14, 2, 0.243, 0.327, 0.320, 0.647, 0.296, 69.5, 0.97
2011, KIA, 34, 67, 150, 123, 19, 24, 3, 0, 3, 36, 16, 0, 0, 1, 0, 26, 2, 1, 1, 0.195, 0.329, 0.293, 0.622, 0.305, 79.2, 0.64
2012, KIA, 35, 80, 192, 163, 11, 28, 5, 0, 2, 39, 20, 0, 0, 2, 1, 39, 5, 9, 0, 0.172, 0.262, 0.239, 0.502, 0.235, 36.6, -0.17
2013, KIA, 36, 49, 108, 87, 7, 20, 4, 0, 0, 24, 8, 0, 0, 1, 0, 17, 3, 5, 2, 0.230, 0.330, 0.276, 0.606, 0.286, 62.0, 0.21
2014, KIA, 37, 9, 12, 10, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.100, 0.250, 0.100, 0.350, 0.202, -2.8, -0.07
