year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2005, SK, 23, 52, 106, 88, 11, 17, 2, 0, 0, 19, 5, 4, 2, 4, 0, 13, 3, 8, 2, 0.193, 0.255, 0.216, 0.471, 0.214, 16.2, -0.50
2006, SK, 24, 120, 487, 430, 69, 122, 19, 4, 8, 173, 42, 45, 10, 4, 1, 60, 3, 13, 4, 0.284, 0.342, 0.402, 0.744, 0.337, 113.0, 4.21
2007, SK, 25, 111, 391, 341, 62, 110, 24, 2, 9, 165, 44, 24, 10, 6, 0, 44, 6, 9, 0, 0.323, 0.395, 0.484, 0.879, 0.398, 149.1, 4.88
2008, SK, 26, 124, 550, 491, 73, 154, 20, 4, 8, 206, 58, 40, 20, 3, 1, 53, 9, 6, 4, 0.314, 0.373, 0.420, 0.793, 0.367, 122.6, 4.57
2009, SK, 27, 127, 565, 480, 98, 168, 29, 4, 9, 232, 59, 53, 13, 11, 1, 55, 8, 2, 5, 0.350, 0.437, 0.483, 0.920, 0.417, 145.9, 6.86
2010, SK, 28, 128, 563, 485, 75, 148, 25, 2, 2, 183, 48, 33, 13, 8, 5, 51, 9, 22, 1, 0.305, 0.375, 0.377, 0.753, 0.338, 97.6, 3.05
2011, SK, 29, 90, 385, 326, 60, 100, 19, 0, 6, 137, 40, 20, 9, 4, 2, 37, 10, 15, 2, 0.307, 0.384, 0.420, 0.804, 0.362, 118.4, 2.96
2012, SK, 30, 127, 534, 467, 53, 124, 13, 4, 8, 169, 46, 22, 12, 6, 3, 33, 10, 12, 2, 0.266, 0.339, 0.362, 0.701, 0.325, 100.5, 2.93
2013, SK, 31, 112, 476, 407, 64, 114, 19, 3, 9, 166, 35, 28, 11, 7, 6, 48, 6, 11, 1, 0.280, 0.368, 0.408, 0.776, 0.353, 107.5, 3.20
2014, 한화, 32, 125, 549, 464, 91, 137, 28, 5, 6, 193, 44, 32, 3, 9, 0, 56, 11, 7, 3, 0.295, 0.391, 0.416, 0.807, 0.369, 101.7, 3.67
2015, 한화, 33, 126, 552, 468, 99, 148, 30, 2, 12, 218, 66, 21, 6, 8, 1, 66, 14, 13, 2, 0.316, 0.403, 0.466, 0.868, 0.384, 119.2, 4.91
2016, 한화, 34, 138, 650, 575, 121, 178, 31, 2, 18, 267, 88, 22, 6, 9, 2, 58, 14, 1, 5, 0.310, 0.381, 0.464, 0.845, 0.381, 112.5, 4.37
2017, 한화, 35, 105, 442, 391, 73, 129, 22, 0, 11, 184, 46, 6, 6, 10, 3, 48, 12, 5, 3, 0.330, 0.392, 0.471, 0.863, 0.379, 120.1, 3.08
2018, 한화, 36, 102, 425, 375, 63, 114, 24, 1, 11, 173, 57, 6, 5, 7, 1, 43, 12, 1, 3, 0.304, 0.377, 0.461, 0.839, 0.369, 111.8, 1.64
2019, 한화, 37, 88, 305, 277, 37, 77, 10, 1, 3, 98, 30, 8, 5, 4, 1, 43, 11, 3, 1, 0.278, 0.334, 0.354, 0.688, 0.320, 94.3, 0.76
2020, LG, 38, 72, 177, 154, 23, 37, 4, 0, 1, 44, 14, 7, 2, 2, 1, 23, 4, 3, 1, 0.240, 0.322, 0.286, 0.608, 0.287, 64.4, 
