year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
2002, LG, 23, 112, 424, 375, 68, 108, 28, 6, 9, 175, 55, 20, 5, 6, 1, 109, 11, 1, 4, 0.288, 0.359, 0.467, 0.826, 0.363, 124.6, 3.20
2003, LG, 24, 133, 555, 494, 68, 127, 21, 6, 11, 193, 51, 42, 12, 9, 2, 83, 7, 6, 5, 0.257, 0.321, 0.391, 0.712, 0.318, 85.8, 1.75
2004, LG, 25, 109, 435, 393, 51, 118, 15, 2, 16, 185, 58, 10, 4, 3, 3, 68, 4, 6, 1, 0.300, 0.357, 0.471, 0.827, 0.369, 120.4, 2.77
2005, LG, 26, 126, 523, 472, 90, 132, 25, 1, 15, 204, 71, 43, 7, 5, 3, 98, 9, 0, 3, 0.280, 0.344, 0.432, 0.776, 0.353, 113.9, 3.55
2006, LG, 27, 126, 534, 476, 69, 140, 26, 3, 16, 220, 64, 25, 3, 2, 6, 93, 7, 1, 4, 0.294, 0.361, 0.462, 0.823, 0.375, 140.2, 5.06
2007, LG, 28, 126, 532, 479, 69, 133, 24, 4, 14, 207, 66, 20, 2, 1, 6, 83, 7, 4, 5, 0.278, 0.335, 0.432, 0.767, 0.347, 111.9, 3.23
2008, LG, 29, 96, 374, 334, 39, 86, 12, 2, 2, 108, 32, 16, 6, 1, 0, 55, 5, 2, 3, 0.257, 0.325, 0.323, 0.649, 0.310, 82.8, 0.76
2009, LG, 30, 111, 506, 452, 91, 168, 31, 5, 18, 263, 74, 22, 3, 6, 2, 63, 15, 3, 9, 0.372, 0.418, 0.582, 0.999, 0.433, 156.5, 5.79
2010, LG, 31, 107, 420, 370, 62, 111, 21, 0, 9, 159, 45, 19, 4, 5, 3, 64, 6, 6, 1, 0.300, 0.372, 0.430, 0.802, 0.362, 113.7, 1.79
2011, LG, 32, 115, 450, 414, 57, 125, 21, 1, 15, 193, 64, 13, 3, 5, 4, 71, 8, 1, 4, 0.302, 0.347, 0.466, 0.814, 0.370, 123.6, 2.35
2012, LG, 33, 127, 556, 499, 82, 152, 34, 3, 11, 225, 76, 30, 8, 7, 1, 66, 9, 1, 7, 0.305, 0.362, 0.451, 0.813, 0.377, 136.9, 5.86
2013, LG, 34, 125, 539, 476, 79, 156, 22, 4, 7, 207, 67, 13, 8, 4, 1, 71, 5, 0, 7, 0.328, 0.393, 0.435, 0.828, 0.388, 131.6, 4.95
2014, LG, 35, 124, 549, 464, 71, 159, 24, 2, 9, 214, 73, 11, 9, 1, 3, 65, 15, 2, 7, 0.343, 0.430, 0.461, 0.891, 0.405, 136.1, 4.49
2015, LG, 36, 128, 533, 487, 66, 159, 28, 2, 18, 245, 83, 11, 4, 4, 1, 73, 12, 1, 7, 0.326, 0.370, 0.503, 0.873, 0.384, 131.3, 3.85
2016, LG, 37, 138, 578, 509, 84, 176, 24, 0, 11, 233, 90, 6, 6, 4, 5, 71, 13, 0, 7, 0.346, 0.412, 0.458, 0.870, 0.397, 126.9, 2.96
2017, LG, 38, 138, 596, 509, 83, 175, 23, 2, 14, 244, 90, 4, 2, 6, 6, 88, 13, 0, 9, 0.344, 0.425, 0.479, 0.904, 0.402, 140.1, 3.70
2018, LG, 39, 134, 583, 524, 89, 159, 38, 1, 15, 244, 76, 3, 3, 5, 0, 107, 21, 0, 7, 0.303, 0.362, 0.466, 0.828, 0.362, 112.7, 1.38
2019, LG, 40, 64, 215, 195, 19, 55, 9, 0, 1, 67, 22, 3, 1, 0, 1, 30, 3, 0, 2, 0.282, 0.340, 0.344, 0.683, 0.321, 93.0, 0.35
2020, LG, 41, 97, 236, 217, 22, 65, 15, 0, 2, 86, 35, 2, 0, 0, 1, 34, 7, 0, 4, 0.300, 0.339, 0.396, 0.735, 0.335, 97.2, 
