year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC
1985, 삼성, 23, 92, 211, 186, 28, 43, 8, 3, 6, 75, 31, 6, 3, 3, 0, 41, 3, 4, 3, 0.231, 0.295, 0.403, 0.698, 0.315, 92.7, 0.70
1986, 삼성, 24, 104, 360, 323, 50, 95, 10, 3, 9, 138, 42, 12, 7, 6, 0, 59, 7, 8, 3, 0.294, 0.344, 0.427, 0.771, 0.356, 130.2, 2.72
1987, 삼성, 25, 99, 336, 304, 49, 82, 8, 1, 10, 122, 38, 14, 2, 4, 0, 44, 11, 4, 2, 0.270, 0.325, 0.401, 0.727, 0.340, 108.2, 1.59
1988, 삼성, 26, 93, 348, 308, 50, 90, 17, 3, 9, 140, 42, 15, 3, 2, 2, 40, 5, 3, 1, 0.292, 0.365, 0.455, 0.820, 0.373, 131.5, 2.94
1989, 삼성, 27, 110, 382, 333, 63, 91, 15, 3, 10, 142, 52, 26, 12, 5, 0, 49, 5, 6, 5, 0.273, 0.343, 0.426, 0.770, 0.357, 119.3, 2.54
1990, 삼성, 28, 97, 323, 275, 51, 81, 11, 2, 9, 123, 38, 17, 7, 3, 1, 30, 5, 2, 3, 0.295, 0.386, 0.447, 0.834, 0.388, 137.7, 2.86
1991, 삼성, 29, 21, 89, 76, 20, 26, 6, 0, 5, 47, 19, 9, 2, 2, 0, 15, 1, 0, 1, 0.342, 0.427, 0.618, 1.045, 0.466, 191.5, 1.45
1992, 삼성, 30, 95, 314, 275, 33, 65, 13, 1, 11, 113, 44, 2, 7, 3, 0, 37, 12, 6, 2, 0.236, 0.312, 0.411, 0.723, 0.323, 90.4, 0.49
1993, 삼성, 31, 106, 413, 354, 50, 88, 18, 2, 14, 152, 51, 4, 4, 6, 1, 59, 9, 8, 2, 0.249, 0.338, 0.429, 0.768, 0.352, 129.1, 2.81
1994, 삼성, 32, 126, 472, 417, 59, 113, 15, 1, 17, 181, 52, 12, 7, 5, 0, 70, 14, 11, 2, 0.271, 0.336, 0.434, 0.770, 0.347, 119.1, 2.76
1995, 삼성, 33, 45, 138, 123, 18, 29, 5, 1, 3, 45, 11, 1, 0, 1, 0, 28, 6, 1, 1, 0.236, 0.307, 0.366, 0.672, 0.308, 96.8, 0.63
1996, 삼성, 34, 51, 156, 130, 21, 34, 3, 0, 2, 43, 16, 9, 4, 2, 1, 22, 1, 0, 4, 0.262, 0.359, 0.331, 0.690, 0.326, 106.0, 0.75
1997, 쌍방울, 35, 15, 38, 29, 6, 8, 2, 0, 0, 10, 2, 0, 1, 2, 0, 6, 1, 1, 1, 0.276, 0.405, 0.345, 0.750, 0.348, 117.2, 0.17
