,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 롯데,23,25,13,10,6,4,1,0,1,8,1,0,0,0,0,2,0,0,0,0.4,0.539,0.8,1.339,0.552,235.9,0.29
1,1,1, 롯데,24,57,106,93,15,21,3,0,1,27,4,5,1,2,0,17,0,1,1,0.226,0.305,0.29,0.595,0.279,58.8,0.11
2,2,2, 롯데,25,88,112,92,23,18,4,2,0,26,14,6,0,3,0,16,3,7,0,0.196,0.295,0.28300000000000003,0.578,0.262,41.8,-0.03
3,3,3, 롯데,26,104,293,255,38,60,14,0,0,74,21,10,5,7,0,42,2,10,3,0.235,0.3,0.29,0.591,0.266,56.0,0.06
4,4,4, 롯데,27,129,543,486,73,149,25,2,6,196,38,23,11,12,3,57,5,7,1,0.307,0.369,0.403,0.773,0.35,108.7,3.65
5,5,5, 롯데,28,19,87,70,6,18,4,0,0,22,1,3,0,4,1,16,1,5,0,0.257,0.366,0.314,0.68,0.309,79.1,0.3
6,6,6, 롯데,32,123,525,462,79,151,27,3,10,214,81,31,3,11,0,81,6,4,11,0.327,0.382,0.463,0.845,0.387,136.6,5.82
7,7,7, 롯데,33,76,294,269,35,79,19,0,8,122,36,13,2,2,0,33,7,1,3,0.294,0.341,0.454,0.795,0.353,101.9,1.79
8,8,8, 롯데,34,111,458,414,83,139,31,0,8,194,52,8,2,4,1,58,8,2,3,0.336,0.39,0.469,0.8590000000000001,0.391,132.2,4.33
9,9,9, 롯데,35,117,459,407,45,99,19,0,6,136,36,9,6,3,1,87,11,10,2,0.243,0.31,0.334,0.644,0.299,75.7,1.0
10,10,10, 롯데,36,103,390,345,40,96,14,0,3,119,33,5,2,1,0,58,7,14,2,0.278,0.332,0.345,0.677,0.312,91.7,1.66
11,11,11, 롯데,37,74,194,167,15,40,6,0,1,49,12,3,1,2,0,23,0,5,3,0.24,0.312,0.293,0.606,0.287,62.9,0.18
12,12,12, 롯데,38,6,8,7,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.125,0.0,0.125,0.093,-73.9,-0.14
