,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 삼성,23,39,70,59,6,11,2,0,1,16,3,0,1,1,0,13,0,1,1,0.18600000000000005,0.29,0.271,0.561,0.269,64.4,0.04
1,1,1, 삼성,24,103,359,300,40,85,16,0,13,140,51,5,3,13,1,39,8,3,2,0.28300000000000003,0.39,0.467,0.857,0.394,148.2,3.91
2,2,2, 삼성,25,102,391,344,47,99,22,1,8,147,48,3,1,7,1,42,7,4,2,0.28800000000000003,0.362,0.4270000000000001,0.789,0.369,139.9,3.93
3,3,3, 삼성,26,99,385,334,59,111,11,1,22,190,70,2,5,3,3,38,8,0,3,0.332,0.413,0.569,0.982,0.45,185.5,5.71
4,4,4, 삼성,27,96,386,314,54,110,18,2,10,162,54,7,4,7,2,43,6,5,2,0.35,0.459,0.516,0.975,0.442,178.6,5.71
5,5,5, 삼성,28,39,87,77,7,19,3,0,2,28,13,0,0,2,1,12,2,1,1,0.247,0.314,0.364,0.6779999999999999,0.316,92.0,0.35
6,6,6, 삼성,29,54,164,141,20,28,3,0,6,49,20,0,0,8,0,23,2,2,0,0.199,0.303,0.348,0.65,0.31,85.8,0.58
7,7,7, 삼성,30,30,68,51,7,8,1,0,3,18,5,0,1,3,0,10,2,1,2,0.157,0.328,0.353,0.6809999999999999,0.319,93.0,0.25
8,8,8, 삼성,31,86,266,226,31,66,13,0,11,112,50,1,2,3,0,38,4,3,0,0.292,0.392,0.496,0.887,0.398,140.3,1.71
9,9,9, 삼성,32,124,521,436,64,131,18,2,28,237,91,2,1,5,0,72,17,2,9,0.3,0.395,0.544,0.939,0.428,183.0,6.3
10,10,10, 삼성,33,105,349,276,39,68,10,1,14,122,43,3,1,14,1,54,5,0,3,0.246,0.395,0.442,0.8370000000000001,0.388,147.5,2.96
11,11,11, 삼성,34,44,144,124,13,32,4,0,3,45,17,0,2,6,0,26,1,2,1,0.258,0.345,0.363,0.708,0.328,110.1,0.33
12,12,12, 삼성,35,22,42,37,5,6,2,0,1,11,3,0,0,1,0,11,0,0,0,0.162,0.262,0.297,0.5589999999999999,0.267,65.6,-0.09
13,13,13, 쌍방울,36,99,325,266,27,68,14,0,9,109,45,0,1,8,3,53,10,9,8,0.256,0.348,0.41,0.758,0.332,105.6,1.78
14,14,14, 쌍방울,37,93,281,238,21,55,14,3,5,90,26,0,0,2,5,54,6,9,3,0.231,0.314,0.378,0.6920000000000001,0.294,80.5,0.83
15,15,15, 쌍방울,38,113,401,346,43,94,19,0,9,140,48,1,2,10,3,73,9,2,2,0.272,0.363,0.405,0.768,0.344,99.5,0.94
16,16,16, SK,39,29,75,64,7,17,0,0,2,23,8,0,0,2,0,19,1,0,0,0.266,0.373,0.359,0.733,0.345,102.7,0.4
