,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 두산,20,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-135.8, -0.02
1,1,1, 두산,23,127,430,374,48,100,14,1,20,176,68,4,1,8,1,68,12,5,3,0.267,0.348,0.471,0.8190000000000001,0.363,114.1, 3.71
2,2,2, 두산,24,119,438,376,43,113,14,3,4,145,46,3,3,3,2,58,12,11,4,0.301,0.375,0.386,0.76,0.35,110.3, 3.49
3,3,3, 두산,25,122,416,359,39,100,22,1,5,139,27,1,2,10,2,51,17,9,1,0.279,0.361,0.387,0.748,0.34700000000000003,116.2, 3.43
4,4,4, 두산,26,114,367,311,37,77,19,0,7,117,57,6,1,8,1,50,11,9,3,0.248,0.338,0.376,0.7140000000000001,0.329,90.9, 2.18
5,5,5, 두산,27,97,338,296,40,87,23,1,10,142,46,4,3,9,1,34,8,5,4,0.294,0.36,0.48,0.84,0.366,113.9, 2.72
6,6,6, 두산,28,132,513,442,70,144,27,0,20,231,93,5,4,24,3,64,7,2,6,0.326,0.405,0.523,0.928,0.408,149.1, 5.65
7,7,7, 두산,29,108,392,332,66,106,17,0,22,189,66,2,0,12,1,29,20,1,7,0.319,0.404,0.569,0.973,0.422,149.6, 4.81
8,8,8, 두산,30,111,406,347,47,96,15,0,14,153,67,1,1,12,1,53,17,1,3,0.277,0.373,0.441,0.8140000000000001,0.364,116.7, 3.02
9,9,9, 두산,31,133,503,439,84,157,29,1,23,257,77,6,0,13,6,40,13,0,6,0.358,0.4270000000000001,0.585,1.013,0.431,160.5, 6.42
10,10,10, NC,32,118,459,390,61,138,26,0,20,224,68,4,3,15,4,43,13,0,6,0.354,0.438,0.574,1.012,0.452,178.2, 6.61
11,11,11, NC,33,130,528,461,86,151,26,1,33,278,124,5,2,14,7,47,11,1,6,0.328,0.4,0.603,1.003,0.4320000000000001,154.3, 
12,12,12, NC,34,141,570,480,81,156,29,2,30,279,111,2,1,11,5,60,12,0,10,0.325,0.414,0.581,0.995,0.443,165.4, 5.74
13,13,13, NC,35,29,110,87,8,19,4,0,4,35,17,1,0,6,3,14,5,0,1,0.218,0.373,0.402,0.775,0.35600000000000004,126.3, 0.81
