,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, LG,19,5,10,9,1,1,0,0,0,1,1,0,0,0,0,5,0,0,0,0.111,0.2,0.111,0.311,0.16699999999999998,-24.7, -0.09
1,1,1, LG,20,125,417,352,59,85,13,6,13,149,61,13,2,7,0,137,1,7,7,0.241,0.332,0.423,0.755,0.336,96.0, 2.72
2,2,2, LG,21,63,180,156,17,33,7,0,2,46,15,5,2,1,0,57,2,3,1,0.212,0.299,0.295,0.594,0.28300000000000003,64.4, 0.36
3,3,3, LG,22,133,540,462,66,115,22,2,12,177,53,23,14,6,4,122,6,9,8,0.249,0.332,0.383,0.715,0.328,102.8, 3.50
4,4,4, LG,23,124,514,441,81,113,20,8,9,176,47,30,7,9,0,113,7,7,3,0.256,0.34700000000000003,0.399,0.746,0.34600000000000003,102.6, 3.91
5,5,5, LG,24,113,464,397,72,104,20,8,8,164,56,28,12,7,2,102,8,6,3,0.262,0.354,0.413,0.767,0.343,94.6, 2.62
6,6,6, LG,25,138,566,497,76,138,41,4,11,220,56,25,10,4,1,121,2,3,3,0.278,0.35700000000000004,0.443,0.8,0.35700000000000004,110.3, 4.44
7,7,7, LG,26,121,472,393,73,110,14,5,20,194,78,17,9,7,0,97,7,2,5,0.28,0.387,0.494,0.8809999999999999,0.391,126.6, 4.16
8,8,8, LG,27,107,390,334,47,91,13,4,8,136,39,10,5,5,2,105,8,1,5,0.272,0.363,0.407,0.77,0.34600000000000003,101.2, 2.15
9,9,9, LG,28,144,617,533,93,148,26,2,11,211,71,10,5,7,3,146,6,12,6,0.278,0.354,0.396,0.75,0.329,89.4, 2.83
10,10,10, LG,29,134,547,473,63,119,23,5,9,179,53,27,5,7,1,113,7,7,3,0.252,0.339,0.378,0.7170000000000001,0.33,101.1, 3.40
11,11,11, LG,30,141,591,527,95,158,41,7,10,243,71,20,8,9,1,116,4,5,5,0.3,0.362,0.461,0.823,0.368,119.9, 
12,12,12, LG,31,134,532,464,62,118,19,2,8,165,57,12,6,5,0,82,11,4,5,0.254,0.335,0.35600000000000004,0.691,0.327,93.9, 2.33
13,13,13, LG,32,38,149,135,22,32,4,1,7,59,19,4,1,2,1,26,2,3,0,0.237,0.295,0.4370000000000001,0.732,0.326,115.6, 1.16
