,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 삼성,19,60,52,48,22,15,3,2,0,22,5,7,2,1,0,16,0,0,0,0.313,0.365,0.458,0.8240000000000001,0.369,118.7, 0.36
1,1,1, 롯데,20,86,333,300,57,94,21,4,4,135,31,29,8,2,0,56,7,2,5,0.313,0.363,0.45,0.813,0.366,111.1, 1.81
2,2,2, 롯데,21,84,291,264,25,58,13,4,7,100,25,9,8,5,0,75,5,7,1,0.22,0.271,0.379,0.65,0.281,66.4, -0.45
3,3,3, 롯데,22,55,131,125,12,20,5,1,3,36,3,7,2,0,0,33,1,1,0,0.16,0.192,0.28800000000000003,0.48,0.213,12.2, -0.91
4,4,4, 롯데,23,120,503,450,53,109,20,5,7,160,42,44,10,13,0,92,7,6,2,0.242,0.31,0.35600000000000004,0.665,0.307,77.8, 2.07
5,5,5, 롯데,26,113,416,387,49,101,17,1,5,135,30,22,8,8,3,69,4,7,1,0.261,0.298,0.349,0.647,0.29600000000000004,75.6, 0.57
6,6,6, 롯데,27,104,458,412,75,129,16,7,1,162,42,32,18,8,0,61,6,9,5,0.313,0.359,0.393,0.752,0.34700000000000003,108.5, 3.08
7,7,7, 롯데,28,109,479,435,77,135,30,5,7,196,51,34,7,6,0,56,7,4,6,0.31,0.35600000000000004,0.451,0.8059999999999999,0.359,105.7, 2.26
8,8,8, 롯데,29,118,535,485,89,134,18,4,9,187,40,65,19,5,1,65,5,11,3,0.276,0.324,0.386,0.71,0.32,85.4, 1.30
9,9,9, 롯데,30,86,371,321,58,100,12,3,6,136,40,25,10,7,0,38,4,12,4,0.312,0.373,0.424,0.797,0.361,117.3, 2.40
10,10,10, 롯데,31,118,488,435,62,128,27,3,5,176,39,32,13,7,1,48,7,11,5,0.294,0.34600000000000003,0.405,0.7509999999999999,0.344,113.7, 2.88
11,11,11, KIA,32,47,195,168,24,51,9,4,0,68,28,23,3,4,1,18,4,7,1,0.304,0.3720000000000001,0.405,0.777,0.35200000000000004,106.8, 1.32
12,12,12, KIA,33,100,442,399,72,138,32,4,9,205,46,22,10,4,2,48,11,6,2,0.34600000000000003,0.397,0.514,0.911,0.399,127.7, 3.06
13,13,13, KIA,34,98,377,333,66,109,23,2,18,190,62,8,2,12,3,58,10,1,8,0.327,0.383,0.5710000000000001,0.954,0.408,137.3, 2.57
14,14,14, KIA,35,130,555,511,97,177,37,3,23,289,101,9,7,7,1,68,13,1,6,0.34600000000000003,0.386,0.5660000000000001,0.952,0.415,135.8, 4.12
15,15,15, KIA,36,122,478,440,78,136,39,2,12,215,70,9,2,4,0,59,17,2,1,0.309,0.359,0.489,0.848,0.3720000000000001,116.0, 2.34
16,16,16, KIA,37,121,471,429,71,146,23,0,18,223,93,8,1,7,5,57,15,2,10,0.34,0.375,0.52,0.895,0.38,122.1, 2.75
17,17,17, KIA,38,100,363,337,35,101,16,0,3,126,32,3,1,5,3,44,6,1,3,0.3,0.34,0.374,0.7140000000000001,0.33,96.3, 0.69
18,18,18, KIA,39,7,18,18,3,6,0,0,1,9,2,0,1,0,0,2,2,0,0,0.333,0.333,0.5,0.833,0.371,117.0, 
