,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 해태,24,99,411,369,67,112,18,5,12,176,50,31,12,4,0,48,6,3,2,0.304,0.365,0.477,0.8420000000000001,0.385,142.7,4.76
1,1,1, 해태,25,88,358,319,53,82,14,3,14,144,40,19,8,5,1,45,11,4,2,0.257,0.325,0.451,0.7759999999999999,0.359,132.9,3.54
2,2,2, 해태,26,98,299,265,34,57,12,1,6,89,29,12,5,5,2,31,6,3,2,0.215,0.29100000000000004,0.336,0.626,0.294,76.0,0.88
3,3,3, 해태,27,108,477,406,81,127,26,2,13,196,52,58,20,12,2,37,7,4,3,0.313,0.404,0.483,0.887,0.404,153.0,6.22
4,4,4, 해태,28,101,434,373,58,90,13,1,12,141,46,24,15,6,2,52,10,7,2,0.241,0.333,0.378,0.711,0.334,104.1,2.49
5,5,5, 해태,29,114,455,381,65,95,20,0,12,151,51,26,16,8,2,49,16,8,2,0.249,0.35600000000000004,0.396,0.752,0.35100000000000003,113.3,3.07
6,6,6, 해태,30,115,513,434,83,120,21,3,17,198,50,56,18,14,1,66,3,6,4,0.277,0.373,0.456,0.8290000000000001,0.378,133.2,5.55
7,7,7, 해태,31,122,566,492,101,152,22,3,21,243,76,44,16,7,1,63,14,3,4,0.309,0.389,0.494,0.883,0.397,140.3,6.22
8,8,8, 해태,32,102,430,367,47,93,12,3,11,144,44,29,8,5,0,54,9,8,4,0.253,0.341,0.392,0.7340000000000001,0.341,120.6,3.8
9,9,9, 해태,33,85,360,314,42,101,19,2,8,148,54,18,7,1,0,41,7,10,2,0.322,0.386,0.471,0.857,0.383,144.3,4.0
10,10,10, 해태,34,96,374,328,36,66,12,2,7,103,30,13,4,9,3,43,20,7,3,0.201,0.278,0.314,0.5920000000000001,0.269,69.6,0.74
11,11,11, 해태,35,111,409,351,49,77,13,2,5,109,41,26,7,3,2,81,12,11,3,0.219,0.304,0.311,0.615,0.282,76.0,1.42
12,12,12, 해태,36,77,249,216,31,46,6,2,5,71,28,12,6,1,0,37,5,6,1,0.213,0.29600000000000004,0.329,0.625,0.284,73.1,0.6
13,13,13, 삼성,37,72,187,160,21,34,9,1,2,51,21,3,3,1,1,40,4,5,3,0.213,0.29100000000000004,0.319,0.61,0.271,64.9,0.16
