,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 롯데,19,6,9,8,0,4,0,0,0,4,1,0,0,0,0,2,0,0,0,0.5,0.556,0.5,1.056,0.502,201.5, 0.13
1,1,1, 롯데,20,74,281,255,27,71,19,0,8,114,32,1,0,7,1,66,6,0,0,0.278,0.345,0.447,0.792,0.35200000000000004,116.3, 1.06
2,2,2, 롯데,21,54,173,152,8,37,6,0,4,55,13,0,2,6,0,37,3,2,0,0.243,0.328,0.362,0.6890000000000001,0.317,85.1, 0.05
3,3,3, 롯데,22,132,514,444,52,110,26,0,20,196,68,4,3,20,0,78,21,6,6,0.248,0.331,0.441,0.772,0.34700000000000003,104.8, 1.57
4,4,4, 롯데,23,126,512,447,53,119,16,2,21,202,80,1,0,15,4,76,12,0,3,0.266,0.354,0.452,0.805,0.364,122.1, 3.98
5,5,5, 롯데,24,122,499,443,71,149,26,0,26,253,88,0,1,16,5,55,11,0,1,0.336,0.409,0.5710000000000001,0.98,0.445,192.4, 6.52
6,6,6, 롯데,25,121,514,415,79,139,21,1,29,249,87,1,0,13,25,55,9,0,5,0.335,0.453,0.6,1.053,0.461,194.2, 7.00
7,7,7, 롯데,26,122,527,435,73,131,23,0,18,208,94,0,1,18,4,56,9,0,12,0.301,0.4,0.478,0.879,0.402,147.1, 5.51
8,8,8, 롯데,27,133,549,478,73,140,28,1,28,254,100,0,0,16,3,65,13,0,4,0.293,0.377,0.531,0.908,0.396,131.3, 4.84
9,9,9, 롯데,28,127,552,478,99,174,13,0,44,319,133,0,2,10,6,77,15,0,3,0.364,0.444,0.667,1.111,0.482,192.4, 8.82
10,10,10, 롯데,29,133,570,493,76,176,26,1,27,285,113,2,0,8,8,60,22,0,6,0.35700000000000004,0.433,0.578,1.011,0.455,180.0, 6.89
11,11,11, 롯데,35,142,608,540,73,173,13,0,34,288,111,1,1,15,8,84,22,0,3,0.32,0.391,0.5329999999999999,0.925,0.4,132.5, 3.68
12,12,12, 롯데,36,144,604,543,81,181,30,0,37,322,125,0,1,14,7,75,18,0,4,0.333,0.394,0.593,0.987,0.415,142.3, 3.84
13,13,13, 롯데,37,135,549,485,48,138,23,1,16,211,88,0,0,9,4,65,19,0,7,0.285,0.355,0.435,0.79,0.36,118.2, 1.80
14,14,14, 롯데,38,144,611,542,67,158,27,0,20,245,110,1,0,5,9,68,21,0,11,0.292,0.354,0.452,0.8059999999999999,0.35700000000000004,106.1, 
15,15,15, 롯데,39,114,465,420,39,120,11,0,19,188,81,0,0,5,3,50,12,0,6,0.28600000000000003,0.342,0.448,0.79,0.361,111.3, 1.10
16,16,16, 롯데,40,36,149,138,17,51,3,0,5,69,19,0,0,1,2,14,6,0,2,0.37,0.403,0.5,0.903,0.411,166.3, 1.26
