,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, LG,19,84,197,172,14,47,10,2,1,64,19,2,2,4,0,38,1,3,1,0.273,0.35100000000000003,0.3720000000000001,0.723,0.33,94.5, 0.43
1,1,1, LG,20,92,388,328,50,88,15,0,6,121,33,7,6,13,1,72,6,4,3,0.268,0.3670000000000001,0.369,0.736,0.345,103.6, 2.12
2,2,2, LG,21,35,133,105,13,18,2,0,2,26,7,1,0,3,0,32,1,6,1,0.171,0.307,0.248,0.555,0.264,52.2, -0.11
3,3,3, LG,22,107,383,329,32,69,6,2,6,97,28,5,2,4,0,72,6,11,3,0.21,0.293,0.295,0.588,0.275,67.3, 0.92
4,4,4, LG,23,115,295,248,32,59,8,3,3,82,19,10,3,5,1,42,9,8,1,0.238,0.338,0.331,0.669,0.312,87.0, 1.28
5,5,5, LG,24,116,444,367,46,95,11,1,8,132,43,6,5,7,0,65,13,23,10,0.259,0.33,0.36,0.69,0.309,82.0, 1.25
6,6,6, LG,25,106,344,269,45,64,12,0,8,100,31,6,4,7,0,55,5,12,2,0.238,0.377,0.3720000000000001,0.748,0.34,92.8, 1.43
7,7,7, LG,26,80,286,231,33,60,21,0,3,90,21,10,2,16,0,52,3,8,1,0.26,0.381,0.39,0.7709999999999999,0.354,108.4, 1.93
8,8,8, LG,27,111,386,317,36,72,11,1,4,97,26,10,8,7,0,66,7,10,4,0.227,0.338,0.306,0.644,0.307,80.5, 1.33
9,9,9, LG,30,87,201,162,33,37,6,1,2,51,19,7,1,5,0,33,6,6,3,0.228,0.344,0.315,0.6579999999999999,0.307,70.0, 0.41
10,10,10, kt,31,137,537,440,75,125,30,1,22,223,73,6,4,13,1,115,8,6,4,0.284,0.399,0.507,0.906,0.397,131.0, 4.57
11,11,11, kt,32,121,476,402,64,126,22,1,20,210,80,3,1,5,2,80,9,0,4,0.313,0.412,0.522,0.934,0.415,135.0, 4.04
12,12,12, kt,33,131,511,442,62,116,27,1,15,190,66,1,2,6,4,118,14,3,3,0.262,0.35200000000000004,0.43,0.782,0.345,95.8, 1.71
13,13,13, KT,34,135,528,458,65,120,21,0,25,216,74,4,1,9,2,129,16,0,3,0.262,0.354,0.472,0.826,0.35700000000000004,104.0, 2.51
14,14,14, KT,35,137,490,421,43,104,24,0,10,158,65,0,1,4,1,102,14,4,6,0.247,0.335,0.375,0.711,0.328,97.3, 2.16
15,15,15, KT,36,119,391,324,33,91,17,0,13,147,59,0,1,9,2,96,14,3,7,0.281,0.381,0.454,0.835,0.374,118.7, 
16,16,16, KT,37,118,280,239,24,46,10,0,9,83,33,0,1,3,2,76,7,4,0,0.192,0.301,0.34700000000000003,0.648,0.301,72.4, 0.10
17,17,17, KT,38,30,51,45,3,5,1,0,0,6,2,0,0,0,0,15,1,0,0,0.111,0.21600000000000005,0.133,0.349,0.184,7.2, -0.35
