,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0.0, LG,19,79,185,163,22,31,11,0,3,51,21,1,0,6,0,48,3,0,4,0.19,0.265,0.313,0.578,0.269,55.4, 0.31
1,1,1.0, LG,20,48,142,130,7,21,2,0,5,38,13,1,3,2,0,42,4,1,0,0.162,0.227,0.292,0.519,0.245,45.4, -0.65
2,2,2.0, LG,23,68,213,188,28,41,7,0,9,75,25,2,1,4,1,70,3,0,1,0.218,0.305,0.399,0.7040000000000001,0.315,75.8, -0.06
3,3,3.0, LG,24,78,192,160,25,30,4,0,7,55,22,5,1,2,3,55,5,2,2,0.188,0.305,0.344,0.649,0.293,67.4, -0.18
4,4,4.0, LG|넥센,25,66,230,201,31,51,11,2,13,105,31,2,0,2,0,76,5,0,1,0.254,0.344,0.522,0.866,0.389,137.0, 1.73
5,5,5.0, 넥센,25,51,213,185,28,49,10,2,12,99,28,2,0,2,0,67,5,0,1,0.265,0.35700000000000004,0.535,0.892,0.401,144.9, 1.80
6,6,6.0, LG,25,15,17,16,3,2,1,0,1,6,3,0,0,0,0,9,0,0,0,0.125,0.177,0.375,0.552,0.244,37.4, -0.08
7,7,7.0, 넥센,26,133,560,469,76,136,34,0,31,263,105,20,9,11,3,111,6,0,7,0.29,0.393,0.561,0.954,0.43,174.5, 6.51
8,8,8.0, 넥센,27,128,556,450,91,143,17,0,37,271,117,10,2,8,4,96,7,0,6,0.318,0.4370000000000001,0.602,1.039,0.462,181.1, 7.02
9,9,9.0, 넥센,28,128,571,459,126,139,16,2,52,315,124,8,3,12,3,142,13,0,4,0.303,0.433,0.6859999999999999,1.119,0.466,162.9, 6.23
10,10,10.0, 넥센,29,140,622,528,129,181,35,1,53,377,146,10,3,12,6,161,10,0,4,0.343,0.436,0.7140000000000001,1.15,0.481,181.9, 7.76
11,11,11.0, 넥센,32,113,488,400,88,138,20,0,43,287,112,0,1,17,10,114,9,0,3,0.345,0.457,0.718,1.175,0.478,190.9, 6.62
12,12,12.0, 키움,33,122,532,432,92,121,22,0,33,242,98,0,1,13,5,117,7,0,9,0.28,0.399,0.56,0.959,0.422,166.3, 5.50
13,13,13.0, 키움,34,93,383,309,56,69,7,0,21,139,66,0,0,9,2,114,8,0,8,0.223,0.353,0.45,0.802,0.35700000000000004,115.7, 
14,14,14.0, 키움,35,118,477,409,48,93,23,0,20,176,76,0,1,14,3,141,9,0,7,0.227,0.32299999999999995,0.43,0.753,0.343,106.4, 1.47
15,15,15.0, KT,36,36,144,128,20,35,5,0,12,76,33,3,0,5,1,43,3,0,1,0.273,0.34700000000000003,0.594,0.941,0.418,176.2, 1.69
