,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, OB,23,53,95,80,11,13,4,1,1,22,6,3,0,1,0,6,1,7,1,0.163,0.227,0.275,0.502,0.218,28.0,-0.04
1,1,1, OB,24,75,142,129,14,30,2,1,1,37,10,3,2,3,0,23,1,5,0,0.233,0.277,0.287,0.564,0.256,51.9,0.18
2,2,2, OB,25,18,28,25,1,4,1,0,0,5,0,0,0,0,0,1,1,1,0,0.16,0.222,0.2,0.422,0.195,7.9,-0.12
3,3,3, 롯데,26,95,212,190,32,54,13,1,5,84,19,3,4,3,0,25,3,5,1,0.284,0.338,0.442,0.78,0.337,94.5,1.25
4,4,4, 롯데,27,122,391,338,44,82,14,2,7,121,37,10,2,6,0,52,6,21,2,0.243,0.303,0.358,0.6609999999999999,0.285,62.7,1.15
5,5,5, 롯데,28,127,451,385,54,117,16,2,7,158,47,8,5,7,1,52,6,14,5,0.304,0.375,0.41,0.7859999999999999,0.35200000000000004,101.9,3.26
6,6,6, 롯데,29,123,415,383,34,109,22,4,8,163,50,1,4,3,5,44,9,2,0,0.285,0.337,0.426,0.762,0.334,104.0,2.95
7,7,7, 롯데,30,119,392,347,33,102,20,2,2,132,41,6,5,4,3,27,1,6,1,0.294,0.363,0.38,0.743,0.337,99.3,2.68
8,8,8, 롯데,31,108,372,327,39,89,16,2,2,115,32,7,6,10,0,40,2,8,2,0.272,0.341,0.35200000000000004,0.6920000000000001,0.321,87.0,1.99
9,9,9, 롯데,32,94,209,177,15,34,7,1,0,43,10,3,1,9,0,29,5,9,1,0.192,0.28,0.243,0.523,0.246,38.9,-0.06
10,10,10, 롯데,34,58,66,59,11,13,3,0,0,16,5,1,0,0,0,7,2,0,0,0.22,0.303,0.271,0.574,0.281,64.5,0.2
11,11,11, 롯데,35,29,44,40,2,9,0,1,0,11,3,0,1,1,0,4,3,1,0,0.225,0.279,0.275,0.5539999999999999,0.262,49.1,-0.01
12,12,12, 롯데,36,54,136,115,17,25,6,0,2,37,10,1,0,0,1,12,2,3,0,0.217,0.32299999999999995,0.322,0.645,0.295,62.9,0.34
