,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, MBC,23,88,296,267,35,72,17,2,7,114,43,11,2,5,2,59,4,4,2,0.27,0.32299999999999995,0.4270000000000001,0.75,0.337,106.9,2.07
1,1,1, MBC,24,109,425,362,51,93,9,4,13,149,56,21,10,5,2,87,3,3,5,0.257,0.35100000000000003,0.412,0.762,0.35700000000000004,120.6,2.83
2,2,2, OB,25,114,466,400,61,110,18,1,14,172,52,12,6,7,2,68,9,4,1,0.275,0.37,0.43,0.8,0.374,129.5,3.42
3,3,3, OB,26,93,358,318,33,66,10,1,5,93,42,12,9,1,0,56,5,2,2,0.208,0.287,0.292,0.579,0.277,63.4,-0.33
4,4,4, OB,27,102,416,370,61,111,26,4,12,181,49,16,7,4,2,52,4,0,0,0.3,0.377,0.489,0.867,0.391,137.9,2.96
5,5,5, OB,28,122,495,440,53,116,17,1,11,168,56,19,8,9,2,63,11,5,2,0.264,0.333,0.382,0.715,0.334,117.0,2.93
6,6,6, OB,29,113,471,410,55,102,11,5,9,150,49,6,7,7,3,73,3,4,3,0.249,0.334,0.366,0.7,0.324,103.6,2.68
7,7,7, OB,30,126,565,504,79,137,23,2,25,239,101,10,7,6,5,113,6,4,6,0.272,0.335,0.474,0.809,0.359,133.4,4.27
8,8,8, OB,31,117,487,439,53,118,27,0,20,205,75,5,5,8,3,101,5,2,7,0.269,0.324,0.467,0.7909999999999999,0.355,127.2,3.22
9,9,9, OB,32,96,393,343,45,108,24,3,11,171,52,4,2,4,5,71,7,1,3,0.315,0.393,0.499,0.8909999999999999,0.396,151.3,3.93
10,10,10, OB,33,34,105,87,12,21,3,0,1,27,7,0,0,4,1,17,2,1,0,0.241,0.365,0.31,0.6759999999999999,0.317,96.3,0.31
11,11,11, LG,34,94,257,221,39,56,10,1,8,92,40,1,1,5,0,58,2,0,2,0.253,0.35,0.416,0.767,0.343,98.9,0.9
12,12,12, LG,35,21,41,31,4,2,1,0,0,3,2,0,0,0,0,14,0,1,0,0.065,0.275,0.097,0.3720000000000001,0.212,10.8,-0.3
