,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 삼성,24,78,322,270,46,78,16,1,13,135,51,6,2,4,0,27,13,0,1,0.289,0.399,0.5,0.899,0.405,147.6,4.12
1,1,1, 삼성,25,98,410,357,53,105,12,0,27,198,74,0,3,8,2,51,11,2,2,0.294,0.378,0.555,0.932,0.418,170.3,6.05
2,2,2, 삼성,26,89,342,300,45,102,17,1,23,190,80,3,8,12,3,37,10,0,4,0.34,0.409,0.633,1.043,0.467,204.6,6.25
3,3,3, 삼성,27,103,423,357,63,115,19,2,22,204,87,7,9,14,6,37,13,1,9,0.322,0.405,0.5710000000000001,0.977,0.434,176.4,6.56
4,4,4, 삼성,28,59,239,212,31,68,8,0,16,124,39,1,0,6,2,20,7,0,0,0.321,0.398,0.585,0.982,0.454,201.4,4.42
5,5,5, 삼성,29,85,357,299,56,103,14,1,18,173,76,6,2,4,4,23,16,0,7,0.344,0.431,0.579,1.01,0.458,191.5,6.34
6,6,6, 삼성,30,86,334,285,47,92,13,0,18,159,58,6,3,7,5,22,8,0,1,0.32299999999999995,0.419,0.5579999999999999,0.977,0.439,176.5,5.35
7,7,7, 삼성,31,110,413,359,55,102,11,0,20,173,64,4,5,10,0,48,12,0,2,0.284,0.373,0.482,0.855,0.401,149.0,5.06
8,8,8, 삼성,32,110,421,359,50,103,13,0,26,194,57,3,4,5,6,37,16,0,2,0.287,0.386,0.54,0.926,0.419,157.7,5.63
9,9,9, 삼성,33,118,446,378,51,120,18,0,17,189,74,6,2,8,12,27,7,0,3,0.317,0.414,0.5,0.914,0.411,154.6,6.08
10,10,10, 삼성,34,93,368,305,50,88,11,0,22,165,70,7,3,12,8,41,8,0,3,0.289,0.402,0.541,0.943,0.414,150.8,4.83
11,11,11, 삼성,35,78,219,193,21,40,3,1,5,60,20,0,2,3,0,23,8,0,1,0.207,0.294,0.311,0.605,0.29100000000000004,84.9,1.01
12,12,12, 삼성,36,109,269,233,24,59,14,0,12,109,37,0,2,5,1,42,5,1,2,0.253,0.343,0.468,0.8109999999999999,0.3670000000000001,133.1,1.65
13,13,13, 삼성,37,97,192,158,17,34,10,0,5,59,27,1,0,8,3,20,1,0,2,0.215,0.344,0.373,0.7170000000000001,0.329,111.4,0.61
14,14,14, 삼성,38,97,222,193,14,55,12,1,6,87,38,2,2,10,0,25,5,0,3,0.285,0.359,0.451,0.81,0.368,135.0,1.29
15,15,15, 삼성,39,39,57,52,2,12,2,0,2,20,9,0,0,2,0,10,0,0,0,0.231,0.298,0.385,0.6829999999999999,0.313,92.7,0.05
