,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 해태,23,77,286,258,28,75,12,0,10,117,43,7,2,3,2,27,7,1,7,0.29100000000000004,0.333,0.453,0.787,0.349,111.6,1.48
1,1,1, 해태,24,86,342,311,51,109,17,2,11,163,44,7,10,3,3,26,11,0,2,0.35,0.404,0.524,0.928,0.422,175.3,4.08
2,2,2, 해태,25,74,310,272,38,86,12,1,14,142,44,2,5,0,1,31,10,0,3,0.316,0.39,0.522,0.912,0.416,169.5,3.43
3,3,3, 해태,26,57,160,147,9,34,2,0,4,48,20,1,2,0,0,17,8,0,2,0.231,0.281,0.327,0.608,0.28600000000000003,72.0,0.22
4,4,4, 해태,27,104,427,383,59,120,19,2,11,176,61,6,5,0,4,37,14,2,0,0.313,0.381,0.46,0.841,0.392,157.5,4.35
5,5,5, 해태,28,88,360,332,43,110,13,1,9,152,41,2,4,3,3,25,14,2,1,0.331,0.377,0.458,0.835,0.389,143.9,2.97
6,6,6, 해태,29,105,393,353,36,106,8,2,4,130,35,1,1,0,2,17,12,7,4,0.3,0.35,0.368,0.718,0.33,102.2,1.45
7,7,7, 해태,30,57,141,127,6,30,4,0,0,34,16,0,0,1,0,10,9,2,2,0.236,0.28800000000000003,0.268,0.556,0.269,58.8,-0.01
8,8,8, 해태,31,117,442,381,41,109,20,1,10,161,64,0,2,3,4,45,11,11,4,0.28600000000000003,0.36,0.423,0.782,0.35600000000000004,116.9,2.34
9,9,9, 해태,32,64,170,155,15,32,4,1,8,62,23,0,0,2,0,20,8,2,1,0.206,0.262,0.4,0.662,0.298,78.9,0.17
10,10,10, 해태,33,21,26,20,3,4,0,0,1,7,4,0,0,0,1,2,1,0,0,0.2,0.385,0.35,0.735,0.34,101.8,0.13
