,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0, 롯데,22,122,451,372,66,98,13,6,2,129,48,18,12,9,3,38,1,10,7,0.263,0.36,0.34700000000000003,0.7070000000000001,0.326,98.1,2.49
1,1,1, 롯데,23,120,537,466,90,140,17,9,5,190,49,33,6,7,0,49,4,11,2,0.3,0.376,0.408,0.784,0.358,113.8,4.58
2,2,2, 롯데,24,120,465,393,63,111,3,7,1,131,31,75,25,5,0,31,2,16,4,0.282,0.363,0.333,0.696,0.324,108.6,4.07
3,3,3, 롯데,25,79,320,281,47,81,5,3,2,98,25,25,11,0,0,32,1,4,2,0.28800000000000003,0.361,0.349,0.71,0.333,109.6,2.36
4,4,4, 롯데,26,124,540,458,93,141,13,12,1,181,42,69,25,6,3,54,5,8,6,0.308,0.393,0.395,0.7879999999999999,0.359,131.4,5.78
5,5,5, 롯데,27,103,377,324,49,88,12,9,2,124,22,23,9,0,2,37,4,13,2,0.272,0.34600000000000003,0.383,0.7290000000000001,0.326,105.8,2.01
6,6,6, 현대,28,110,425,369,48,91,14,7,2,125,18,23,12,2,1,54,5,10,0,0.247,0.33,0.339,0.669,0.305,87.1,1.09
7,7,7, 현대,29,126,518,446,78,143,16,7,5,188,43,35,17,10,0,58,2,10,3,0.321,0.398,0.422,0.8190000000000001,0.3670000000000001,131.6,4.27
8,8,8, 현대,30,129,562,470,80,137,7,2,4,160,43,38,12,4,1,72,1,15,6,0.29100000000000004,0.38,0.34,0.721,0.33,89.8,1.77
9,9,9, 현대,31,87,334,263,53,83,12,2,1,102,18,18,8,6,1,36,0,13,1,0.316,0.436,0.388,0.8240000000000001,0.373,122.2,2.3
10,10,10, 현대,32,125,490,400,85,130,18,6,4,172,35,27,15,8,1,51,5,13,4,0.325,0.426,0.43,0.856,0.389,126.5,3.55
11,11,11, 현대,33,126,501,420,83,126,15,8,3,166,28,26,11,13,1,51,2,14,1,0.3,0.394,0.395,0.79,0.35200000000000004,116.2,3.23
12,12,12, 현대,34,129,533,442,79,119,16,6,3,156,38,20,9,10,0,56,3,20,2,0.269,0.365,0.353,0.718,0.325,91.0,2.63
13,13,13, 현대,35,132,581,487,88,142,10,7,4,178,48,53,7,5,2,64,4,24,2,0.292,0.377,0.366,0.743,0.337,98.4,4.24
14,14,14, 현대,36,94,320,278,34,74,8,2,0,86,22,18,8,4,0,42,1,10,3,0.266,0.332,0.309,0.642,0.297,75.8,0.91
15,15,15, 현대,37,109,346,303,37,87,10,1,1,102,26,20,7,2,0,28,3,16,0,0.287,0.34600000000000003,0.337,0.682,0.311,94.0,1.25
16,16,16, 현대,38,121,430,371,52,110,8,1,1,123,13,11,8,9,1,45,6,8,2,0.297,0.377,0.332,0.708,0.337,104.5,1.71
17,17,17, 히어로즈,39,114,391,352,44,109,16,5,1,138,24,16,11,1,2,41,5,1,2,0.31,0.3720000000000001,0.392,0.764,0.359,116.0,2.18
18,18,18, 히어로즈,40,21,37,33,2,8,1,0,0,9,4,2,4,0,0,5,0,0,0,0.242,0.324,0.273,0.597,0.29100000000000004,60.0,-0.24
