,Unnamed: 0,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR
0,0,0.0, LG,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0, , 0.01
1,1,1.0, 넥센,23,127,501,433,70,115,21,10,1,159,40,39,12,7,0,43,4,13,3,0.266,0.342,0.3670000000000001,0.7090000000000001,0.328, 102.9, 3.51
2,2,2.0, 넥센,24,86,372,316,53,84,13,2,0,101,18,26,7,11,0,29,3,8,4,0.266,0.35200000000000004,0.32,0.6709999999999999,0.321, 85.5, 1.72
3,3,3.0, 넥센,25,128,616,543,135,201,41,17,7,297,67,48,17,8,0,47,1,4,2,0.37,0.438,0.547,0.985,0.4370000000000001, 150.9, 7.63
4,4,4.0, 넥센,26,85,368,312,52,93,24,4,3,134,37,9,2,1,0,24,7,11,2,0.298,0.381,0.429,0.81,0.359, 105.8, 1.51
5,5,5.0, 넥센,27,140,646,560,111,182,30,7,7,247,63,26,13,10,2,58,6,3,4,0.325,0.406,0.441,0.847,0.389, 116.6, 4.46
6,6,6.0, 넥센,28,139,615,539,87,179,28,3,6,231,76,15,6,1,1,68,11,2,6,0.332,0.403,0.429,0.8320000000000001,0.378, 118.3, 4.20
7,7,7.0, 넥센,29,37,160,141,28,48,12,0,0,60,15,2,0,3,0,19,1,2,2,0.34,0.399,0.426,0.8240000000000001,0.369, 112.0, 0.66
8,8,8.0, 키움,30,113,486,426,67,128,23,3,2,163,41,17,3,3,1,50,5,3,5,0.3,0.373,0.383,0.755,0.35200000000000004, 112.9, 2.36
9,9,9.0, 키움,31,135,595,484,79,134,28,5,5,187,52,24,10,5,1,58,8,5,10,0.277,0.39,0.386,0.7759999999999999,0.361, 111.4, 
10,10,10.0, 키움|LG,32,144,599,512,78,130,24,2,6,176,52,12,4,9,2,77,14,5,4,0.254,0.35,0.344,0.6940000000000001,0.331, 94.8, 2.83
11,11,11.0, 키움,32,76,332,277,45,72,12,1,4,98,28,6,4,6,2,43,9,1,3,0.26,0.3720000000000001,0.354,0.725,0.348, 105.4, 1.70
12,12,12.0, LG,32,68,267,235,33,58,12,1,2,78,24,6,0,3,0,34,5,4,1,0.247,0.32299999999999995,0.332,0.655,0.31, 82.1, 0.76
13,13,13.0, LG,33,34,120,109,18,24,5,0,1,32,7,5,1,0,0,19,4,2,1,0.22,0.271,0.294,0.565,0.263, 66.2, 0.13
